No.,Gen,Name,Type1,Type2,Ability1,Ability2,Hidden Ability,HP,Att,Def,S.Att,S.Def,Spd,total,moveset
#011,,Metapod,bug,,Shed Skin,,,50,20,55,25,25,30,205,"[['1', 'Harden', 'NORMAL', 'status', '-', '-']]"
#012,,Butterfree,bug,flying,Compoundeyes,,Tinted Lens,60,45,50,90,80,70,395,"[['1', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['1', 'Gust', 'FLYING', 'special', '40', '100'], ['11', 'Confusion', 'PSYCHIC', 'special', '50', '100'], ['13', 'Poison Powder', 'POISON', 'status', '-', '75'], ['13', 'Sleep Powder', 'GRASS', 'status', '-', '75'], ['13', 'Stun Spore', 'GRASS', 'status', '-', '75'], ['17', 'Psybeam', 'PSYCHIC', 'special', '65', '100'], ['19', 'Silver Wind', 'BUG', 'special', '60', '100'], ['23', 'Supersonic', 'NORMAL', 'status', '-', '55'], ['25', 'Safeguard', 'NORMAL', 'status', '-', '-'], ['29', 'Whirlwind', 'NORMAL', 'status', '-', '-'], ['31', 'Bug Buzz', 'BUG', 'special', '90', '100'], ['35', 'Rage Powder', 'BUG', 'status', '-', '-'], ['37', 'Captivate', 'NORMAL', 'status', '-', '100'], ['41', 'Tailwind', 'FLYING', 'status', '-', '-'], ['43', 'Air Slash', 'FLYING', 'special', '75', '95'], ['47', 'Quiver Dance', 'BUG', 'status', '-', '-']]"
#013,,Weedle,bug,poison,Shield Dust,,Run Away,40,35,30,20,20,50,195,"[['1', 'Poison Sting', 'POISON', 'physical', '15', '100'], ['1', 'String Shot', 'BUG', 'status', '-', '95'], ['9', 'Bug Bite', 'BUG', 'physical', '60', '100']]"
#014,,Kakuna,bug,poison,Shed Skin,,,45,25,50,25,25,35,205,"[['1', 'Harden', 'NORMAL', 'status', '-', '-']]"
#015,,Beedrill,bug,poison,Swarm,,Sniper,65,90,40,45,80,75,395,"[['1', 'Fury Attack', 'NORMAL', 'physical', '15', '85'], ['1', 'Twineedle', 'BUG', 'physical', '25', '100'], ['11', 'Fury Attack', 'NORMAL', 'physical', '15', '85'], ['14', 'Rage', 'NORMAL', 'physical', '20', '100'], ['17', 'Pursuit', 'DARK', 'physical', '40', '100'], ['20', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['23', 'Venoshock', 'POISON', 'special', '65', '100'], ['26', 'Assurance', 'DARK', 'physical', '60', '100'], ['29', 'Toxic Spikes', 'POISON', 'status', '-', '-'], ['32', 'Pin Missile', 'BUG', 'physical', '25', '95'], ['35', 'Poison Jab', 'POISON', 'physical', '80', '100'], ['38', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['41', 'Endeavor', 'NORMAL', 'physical', '-', '100'], ['44', 'Fell Stinger', 'BUG', 'physical', '50', '100']]"
#016,,Pidgey,normal,flying,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,251,"[['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['5', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['9', 'Gust', 'FLYING', 'special', '40', '100'], ['13', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['17', 'Whirlwind', 'NORMAL', 'status', '-', '-'], ['21', 'Twister', 'DRAGON', 'special', '40', '100'], ['25', 'Feather Dance', 'FLYING', 'status', '-', '100'], ['29', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['33', 'Wing Attack', 'FLYING', 'physical', '60', '100'], ['37', 'Roost', 'FLYING', 'status', '-', '-'], ['41', 'Tailwind', 'FLYING', 'status', '-', '-'], ['45', 'Mirror Move', 'FLYING', 'status', '-', '-'], ['49', 'Air Slash', 'FLYING', 'special', '75', '95'], ['53', 'Hurricane', 'FLYING', 'special', '110', '70']]"
#017,,Pidgeotto,normal,flying,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,349,"[['1', 'Gust', 'FLYING', 'special', '40', '100'], ['1', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['5', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['9', 'Gust', 'FLYING', 'special', '40', '100'], ['13', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['17', 'Whirlwind', 'NORMAL', 'status', '-', '-'], ['22', 'Twister', 'DRAGON', 'special', '40', '100'], ['27', 'Feather Dance', 'FLYING', 'status', '-', '100'], ['32', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['37', 'Wing Attack', 'FLYING', 'physical', '60', '100'], ['42', 'Roost', 'FLYING', 'status', '-', '-'], ['47', 'Tailwind', 'FLYING', 'status', '-', '-'], ['52', 'Mirror Move', 'FLYING', 'status', '-', '-'], ['57', 'Air Slash', 'FLYING', 'special', '75', '95'], ['62', 'Hurricane', 'FLYING', 'special', '110', '70']]"
#018,,Pidgeot,normal,flying,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101,479,"[['1', 'Gust', 'FLYING', 'special', '40', '100'], ['1', 'Hurricane', 'FLYING', 'special', '110', '70'], ['1', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['1', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['5', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['9', 'Gust', 'FLYING', 'special', '40', '100'], ['13', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['17', 'Whirlwind', 'NORMAL', 'status', '-', '-'], ['22', 'Twister', 'DRAGON', 'special', '40', '100'], ['27', 'Feather Dance', 'FLYING', 'status', '-', '100'], ['32', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['38', 'Wing Attack', 'FLYING', 'physical', '60', '100'], ['44', 'Roost', 'FLYING', 'status', '-', '-'], ['50', 'Tailwind', 'FLYING', 'status', '-', '-'], ['56', 'Mirror Move', 'FLYING', 'status', '-', '-'], ['62', 'Air Slash', 'FLYING', 'special', '75', '95'], ['68', 'Hurricane', 'FLYING', 'special', '110', '70']]"
#019,,Rattata,normal,,Run Away,Guts,Hustle,30,56,35,25,35,72,253,"[['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['4', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['7', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['10', 'Bite', 'DARK', 'physical', '60', '100'], ['13', 'Pursuit', 'DARK', 'physical', '40', '100'], ['16', 'Hyper Fang', 'NORMAL', 'physical', '80', '90'], ['19', 'Assurance', 'DARK', 'physical', '60', '100'], ['22', 'Crunch', 'DARK', 'physical', '80', '100'], ['25', 'Sucker Punch', 'DARK', 'physical', '70', '100'], ['28', 'Super Fang', 'NORMAL', 'physical', '-', '90'], ['31', 'Double-Edge', 'NORMAL', 'physical', '120', '100'], ['34', 'Endeavor', 'NORMAL', 'physical', '-', '100']]"
#020,,Raticate,normal,,Run Away,Guts,Hustle,55,81,60,50,70,97,413,"[['1', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['1', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['1', 'Scary Face', 'NORMAL', 'status', '-', '100'], ['1', 'Swords Dance', 'NORMAL', 'status', '-', '-'], ['1', 'Tackle', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['4', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['7', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['10', 'Bite', 'DARK', 'physical', '60', '100'], ['13', 'Pursuit', 'DARK', 'physical', '40', '100'], ['16', 'Hyper Fang', 'NORMAL', 'physical', '80', '90'], ['19', 'Assurance', 'DARK', 'physical', '60', '100'], ['24', 'Crunch', 'DARK', 'physical', '80', '100'], ['29', 'Sucker Punch', 'DARK', 'physical', '70', '100'], ['34', 'Super Fang', 'NORMAL', 'physical', '-', '90'], ['39', 'Double-Edge', 'NORMAL', 'physical', '120', '100'], ['44', 'Endeavor', 'NORMAL', 'physical', '-', '100']]"
#021,,Spearow,normal,flying,Keen Eye,,Sniper,40,60,30,31,31,70,262,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Peck', 'FLYING', 'physical', '35', '100'], ['4', 'Leer', 'NORMAL', 'status', '-', '100'], ['8', 'Pursuit', 'DARK', 'physical', '40', '100'], ['11', 'Fury Attack', 'NORMAL', 'physical', '15', '85'], ['15', 'Aerial Ace', 'FLYING', 'physical', '60', '?'], ['18', 'Mirror Move', 'FLYING', 'status', '-', '-'], ['22', 'Assurance', 'DARK', 'physical', '60', '100'], ['25', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['29', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['32', 'Roost', 'FLYING', 'status', '-', '-'], ['36', 'Drill Peck', 'FLYING', 'physical', '80', '100']]"
#022,,Fearow,normal,flying,Keen Eye,,Sniper,65,90,65,61,61,100,442,"[['1', 'Drill Run', 'GROUND', 'physical', '80', '95'], ['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Leer', 'NORMAL', 'status', '-', '100'], ['1', 'Peck', 'FLYING', 'physical', '35', '100'], ['1', 'Pluck', 'FLYING', 'physical', '60', '100'], ['1', 'Pursuit', 'DARK', 'physical', '40', '100'], ['4', 'Leer', 'NORMAL', 'status', '-', '100'], ['8', 'Pursuit', 'DARK', 'physical', '40', '100'], ['11', 'Fury Attack', 'NORMAL', 'physical', '15', '85'], ['15', 'Aerial Ace', 'FLYING', 'physical', '60', '?'], ['18', 'Mirror Move', 'FLYING', 'status', '-', '-'], ['23', 'Assurance', 'DARK', 'physical', '60', '100'], ['27', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['32', 'Focus Energy', 'NORMAL', 'status', '-', '-'], ['36', 'Roost', 'FLYING', 'status', '-', '-'], ['41', 'Drill Peck', 'FLYING', 'physical', '80', '100'], ['45', 'Drill Run', 'GROUND', 'physical', '80', '95']]"
#023,,Ekans,poison,,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,288,"[['1', 'Leer', 'NORMAL', 'status', '-', '100'], ['1', 'Wrap', 'NORMAL', 'physical', '15', '90'], ['4', 'Poison Sting', 'POISON', 'physical', '15', '100'], ['9', 'Bite', 'DARK', 'physical', '60', '100'], ['12', 'Glare', 'NORMAL', 'status', '-', '100'], ['17', 'Screech', 'NORMAL', 'status', '-', '85'], ['20', 'Acid', 'POISON', 'special', '40', '100'], ['25', 'Spit Up', 'NORMAL', 'special', '-', '100'], ['25', 'Stockpile', 'NORMAL', 'status', '-', '-'], ['25', 'Swallow', 'NORMAL', 'status', '-', '-'], ['28', 'Acid Spray', 'POISON', 'special', '40', '100'], ['33', 'Mud Bomb', 'GROUND', 'special', '65', '85'], ['36', 'Gastro Acid', 'POISON', 'status', '-', '100'], ['38', 'Belch', 'POISON', 'special', '120', '90'], ['41', 'Haze', 'ICE', 'status', '-', '-'], ['44', 'Coil', 'POISON', 'status', '-', '-'], ['49', 'Gunk Shot', 'POISON', 'physical', '120', '80']]"
#024,,Arbok,poison,,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,448,"[['1', 'Bite', 'DARK', 'physical', '60', '100'], ['1', 'Crunch', 'DARK', 'physical', '80', '100'], ['1', 'Fire Fang', 'FIRE', 'physical', '65', '95'], ['1', 'Ice Fang', 'ICE', 'physical', '65', '95'], ['1', 'Leer', 'NORMAL', 'status', '-', '100'], ['1', 'Poison Sting', 'POISON', 'physical', '15', '100'], ['1', 'Thunder Fang', 'ELECTRIC', 'physical', '65', '95'], ['1', 'Wrap', 'NORMAL', 'physical', '15', '90'], ['4', 'Poison Sting', 'POISON', 'physical', '15', '100'], ['9', 'Bite', 'DARK', 'physical', '60', '100'], ['12', 'Glare', 'NORMAL', 'status', '-', '100'], ['17', 'Screech', 'NORMAL', 'status', '-', '85'], ['20', 'Acid', 'POISON', 'special', '40', '100'], ['27', 'Spit Up', 'NORMAL', 'special', '-', '100'], ['27', 'Stockpile', 'NORMAL', 'status', '-', '-'], ['27', 'Swallow', 'NORMAL', 'status', '-', '-'], ['32', 'Acid Spray', 'POISON', 'special', '40', '100'], ['39', 'Mud Bomb', 'GROUND', 'special', '65', '85'], ['44', 'Gastro Acid', 'POISON', 'status', '-', '100'], ['48', 'Belch', 'POISON', 'special', '120', '90'], ['51', 'Haze', 'ICE', 'status', '-', '-'], ['56', 'Coil', 'POISON', 'status', '-', '-'], ['63', 'Gunk Shot', 'POISON', 'physical', '120', '80']]"
#025,,Pikachu,electric,,Static,,Lightning Rod,35,55,40,50,50,90,320,"[['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['1', 'Thunder Shock', 'ELECTRIC', 'special', '40', '100'], ['5', 'Growl', 'NORMAL', 'status', '-', '100'], ['7', 'Play Nice', 'NORMAL', 'status', '-', '-'], ['10', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['13', 'Electro Ball', 'ELECTRIC', 'special', '-', '100'], ['18', 'Thunder Wave', 'ELECTRIC', 'status', '-', '90'], ['21', 'Feint', 'NORMAL', 'physical', '30', '100'], ['23', 'Double Team', 'NORMAL', 'status', '-', '-'], ['26', 'Spark', 'ELECTRIC', 'physical', '65', '100'], ['29', 'Nuzzle', 'ELECTRIC', 'physical', '20', '100'], ['34', 'Discharge', 'ELECTRIC', 'special', '80', '100'], ['37', 'Slam', 'NORMAL', 'physical', '80', '75'], ['42', 'Thunderbolt', 'ELECTRIC', 'special', '90', '100'], ['45', 'Agility', 'PSYCHIC', 'status', '-', '-'], ['50', 'Wild Charge', 'ELECTRIC', 'physical', '90', '100'], ['53', 'Light Screen', 'PSYCHIC', 'status', '-', '-'], ['58', 'Thunder', 'ELECTRIC', 'special', '110', '70']]"
#026,,Raichu,electric,,Static,,Lightning Rod,60,90,55,90,80,110,485,"[['1', 'Quick Attack', 'NORMAL', 'physical', '40', '100'], ['1', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['1', 'Thunder Shock', 'ELECTRIC', 'special', '40', '100'], ['1', 'Thunderbolt', 'ELECTRIC', 'special', '90', '100']]"
#027,,Sandshrew,ground,,Sand Veil,,Sand Rush,50,75,85,20,30,40,300,"[['1', 'Defense Curl', 'NORMAL', 'status', '-', '-'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['3', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['5', 'Poison Sting', 'POISON', 'physical', '15', '100'], ['7', 'Rollout', 'ROCK', 'physical', '30', '90'], ['9', 'Rapid Spin', 'NORMAL', 'physical', '50', '100'], ['11', 'Fury Cutter', 'BUG', 'physical', '40', '95'], ['14', 'Magnitude', 'GROUND', 'physical', '-', '100'], ['17', 'Swift', 'NORMAL', 'special', '60', '?'], ['20', 'Fury Swipes', 'NORMAL', 'physical', '18', '80'], ['23', 'Sand Tomb', 'GROUND', 'physical', '35', '85'], ['26', 'Slash', 'NORMAL', 'physical', '70', '100'], ['30', 'Dig', 'GROUND', 'physical', '80', '100'], ['34', 'Gyro Ball', 'STEEL', 'physical', '-', '100'], ['38', 'Swords Dance', 'NORMAL', 'status', '-', '-'], ['42', 'Sandstorm', 'ROCK', 'status', '-', '-'], ['46', 'Earthquake', 'GROUND', 'physical', '100', '100']]"
#028,,Sandslash,ground,,Sand Veil,,Sand Rush,75,100,110,45,55,65,450,"[['1', 'Crush Claw', 'NORMAL', 'physical', '75', '95'], ['1', 'Defense Curl', 'NORMAL', 'status', '-', '-'], ['1', 'Poison Sting', 'POISON', 'physical', '15', '100'], ['1', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['3', 'Sand Attack', 'GROUND', 'status', '-', '100'], ['5', 'Poison Sting', 'POISON', 'physical', '15', '100'], ['7', 'Rollout', 'ROCK', 'physical', '30', '90'], ['9', 'Rapid Spin', 'NORMAL', 'physical', '50', '100'], ['11', 'Fury Cutter', 'BUG', 'physical', '40', '95'], ['14', 'Magnitude', 'GROUND', 'physical', '-', '100'], ['17', 'Swift', 'NORMAL', 'special', '60', '?'], ['20', 'Fury Swipes', 'NORMAL', 'physical', '18', '80'], ['24', 'Sand Tomb', 'GROUND', 'physical', '35', '85'], ['28', 'Slash', 'NORMAL', 'physical', '70', '100'], ['33', 'Dig', 'GROUND', 'physical', '80', '100'], ['38', 'Gyro Ball', 'STEEL', 'physical', '-', '100'], ['43', 'Swords Dance', 'NORMAL', 'status', '-', '-'], ['48', 'Sandstorm', 'ROCK', 'status', '-', '-'], ['53', 'Earthquake', 'GROUND', 'physical', '100', '100']]"
#029,,Nidoranf,poison,,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,275,"[['1', 'Growl', 'NORMAL', 'status', '-', '100'], ['1', 'Scratch', 'NORMAL', 'physical', '40', '100'], ['7', 'Tail Whip', 'NORMAL', 'status', '-', '100'], ['9', 'Double Kick', 'FIGHTING', 'physical', '30', '100'], ['13', 'Poison Sting', 'POISON', 'physical', '15', '100'], ['19', 'Fury Swipes', 'NORMAL', 'physical', '18', '80'], ['21', 'Bite', 'DARK', 'physical', '60', '100'], ['25', 'Helping Hand', 'NORMAL', 'status', '-', '-'], ['31', 'Toxic Spikes', 'POISON', 'status', '-', '-'], ['33', 'Flatter', 'DARK', 'status', '-', '100'], ['37', 'Crunch', 'DARK', 'physical', '80', '100'], ['43', 'Captivate', 'NORMAL', 'status', '-', '100'], ['45', 'Poison Fang', 'POISON', 'physical', '50', '100']]"
